ID estudiante,Lenguaje
1,C
2,C
3,C
4,C
5,C
6,C
7,C
8,C
9,C
10,C
11,C
12,C
13,C
14,C
15,C
16,C
17,C
18,C
19,C
20,C
21,C
22,C
23,C
24,C++
25,C++
26,C++
27,C++
28,C++
29,C++
30,C++
31,C++
32,C++
33,C++
34,C++
35,C++
36,C++
37,C++
38,C++
39,C++
40,C++
41,Java
42,Java
43,Java
44,Java
45,Java
46,Java
47,Java
48,Java
49,Java
50,Java
51,Java
52,Java
53,Java
54,Java
55,Java
56,Java
57,Java
58,Java
59,Java
60,Java
61,Java
62,Java
63,Java
64,Java
65,Java
66,Java
67,Java
68,Java
69,Java
70,Java
71,Java
72,Java
73,Java
74,Java
75,Java
76,Python
77,Python
78,Python
79,Python
80,Python
81,Python
82,Python
83,Python
84,Python
85,Python
86,Python
87,Python
88,Python
89,Python
90,Python
91,Python
92,Python
93,Python
94,Python
95,Python
96,Python
97,Python
98,Python
99,Python
100,Python
101,Python
102,Python
103,Python
104,Python
105,PHP
106,PHP
107,PHP
108,PHP
109,PHP
110,PHP
111,PHP
112,PHP
113,PHP
114,PHP
115,PHP
116,PHP