SCHOOL NAME,NUM STUDENTS
P.S. 033 Chelsea Prep,195
P.S. 033 Timothy Dwight,251
P.S. 034 Franklin D. Roosevelt,558
P.S. 034 Oliver H. Perry,187
P.S. 035 Franz Siegel,156
P.S. 036 Margaret Douglas,360
P.S. 036 Unionport,299
P.S. 038 The Pacific,205
P.S. 039 Henry Bristow,171
P.S. 040 Augustus Saint-Gaudens,311
P.S. 040 George W. Carver,215
P.S. 041 Crocheron,238
P.S. 041 Francis White,724
P.S. 041 Greenwich Village,307
P.S. 041 Gun Hill Road,250
P.S. 042 Benjamin Altman,186
P.S. 042 Claremont,257
P.S. 042 R. Vernam,291
P.S. 043,621
P.S. 043 Jonas Bronck,210
P.S. 044 David C. Farragut,169
P.S. 044 Marcus Garvey,142
P.S. 045 Clarence Witherspoon,193
P.S. 046 Alley Pond,318
P.S. 046 Arthur Tappan,606
P.S. 046 Edgar Allan Poe,348
P.S. 046 Edward C. Blum,124
P.S. 047 Chris Galas,356
P.S. 047 John Randolph,311
P.S. 048 Joseph R. Drake,239
P.S. 048 Mapleton,183
P.S. 048 P.O. Michael J. Buczek,305
P.S. 049 Dorothy Bonawit Kole,688
P.S. 049 Willis Avenue,247
P.S. 050 Clara Barton,211
P.S. 050 Vito Marcantonio,660
P.S. 051,95
P.S. 051 Bronx New School,149
P.S. 051 Elias Howe,253
P.S. 052 Sheepshead Bay,448
P.S. 053 Basheer Quisim,206
P.S. 054 Samuel C. Barnes,235
P.S. 055 Benjamin Franklin,163
P.S. 056 Harry Eichler,246
P.S. 056 Lewis H. Latimer,151
P.S. 056 Norwood Heights,198
P.S. 057 Crescent,228
P.S. 058,198
P.S. 058 The Carroll,293
P.S. 059 Beekman Hill International,301
P.S. 059 The Community School of Technology,235
P.S. 059 William Floyd,157
P.S. 060 Woodhaven,263
P.S. 061 Francisco Oller,219
P.S. 062 Chester Park,178
P.S. 062 Inocensio Casanova,272
P.S. 063 Author's Academy,290
P.S. 063 Old South,211
P.S. 063 William McKinley,164
P.S. 064 Joseph P. Addabbo,186
P.S. 064 Pura Belpre,272
P.S. 064 Robert Simon,247
P.S. 065,244
P.S. 065 Mother Hale Academy,165
P.S. 066 Jacqueline Kennedy Onassis,274
P.S. 066 School of Higher Expectations,236
P.S. 067 Charles A. Dorsey,144
P.S. 067 Mohegan School,162
P.S. 068 Bronx,231
P.S. 068 Cambridge,248
P.S. 069 The New Vision School,248
P.S. 070 Max Schoenfeld,200
P.S. 071 Forest,284
P.S. 071 Rose E. Scala,812
P.S. 072 Dr. William Dorney,307
P.S. 073 Bronx,255
P.S. 073 Thomas S. Boyland,278
P.S. 075,268
P.S. 075 Emily Dickinson,285
P.S. 076 A. Philip Randolph,241
P.S. 076 The Bennington School,313
P.S. 078 Anne Hutchinson,249
P.S. 079 Creston,39
P.S. 079 Francis Lewis,325
P.S. 081 Robert J. Christen,202
P.S. 081 Thaddeus Stevens,326
P.S. 083 Donald Hertz,886
P.S. 083 Luis Munoz Rivera,193
P.S. 084 Jose De Diego,187
P.S. 084 Lillian Weber,231
P.S. 085 Great Expectations,325
P.S. 086 Kingsbridge Heights,326
P.S. 087 Bronx,212
P.S. 087 Middle Village,642
P.S. 087 William Sherman,243
P.S. 088 Seneca,323
P.S. 089 Bronx,762
P.S. 089 Cypress Hills,382
P.S. 089 Elmhurst,340
P.S. 090 George Meany,24
P.S. 090 Horace Mann,306
P.S. 091 Bronx,228
P.S. 091 Richard Arkwright,347
P.S. 091 The Albany Avenue School,279
P.S. 092 Adrian Hegeman,188
P.S. 092 Bronx,166
P.S. 092 Mary McLeod Bethune,187
P.S. 093 Albert G. Oliver,229
P.S. 093 William H. Prescott,173
P.S. 094 David D. Porter,144
P.S. 094 Kings College School,235
P.S. 094 The Henry Longfellow,232
P.S. 095 Sheila Mencher,966
P.S. 095 The Gravesend,491
P.S. 096,199
P.S. 096 Joseph Lanzetta,454
P.S. 096 Richard Rodgers,257
P.S. 097 Bronx,274
P.S. 097 Forest Park,242
P.S. 098 Shorac Kappock,217
P.S. 098 The Douglaston School,135
P.S. 099 Isaac Asimov,672
P.S. 100 Glen Morris,259
P.S. 100 Isaac Clason,301
P.S. 100 The Coney Island School,204
P.S. 101 The Verrazano,294
P.S. 102 Bayview,509
P.S. 102 Jacques Cartier,203
P.S. 102 Joseph O. Loretan,237
P.S. 102 The Bayview,341
P.S. 103 Hector Fontanez,248
P.S. 104 The Bays Water,340
P.S. 105 Sen Abraham Bernstein,345
P.S. 105 The Bay School,535
P.S. 105 The Blythebourne,381
P.S. 106,238
P.S. 106 Parkchester,309
P.S. 107,259
P.S. 107 John W. Kimball,231
P.S. 107 Thomas A Dooley,166
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,221
P.S. 108 Captain Vincent G. Fowler,326
P.S. 108 Philip J. Abinanti,188
P.S. 108 Sal Abbracciamento,203
P.S. 109,669
P.S. 109 Sedgwick,182
P.S. 110 Florence Nightingale,288
P.S. 110 The Monitor,227
P.S. 110 Theodore Schoenfeld,206
P.S. 111 Adolph S. Ochs,591
P.S. 111 Seton Falls,293
P.S. 112 Bronxwood,229
P.S. 112 Jose Celso Barbosa,105
P.S. 112 Lefferts Park,203
P.S. 113 Isaac Chauncey,414
P.S. 114 Ryder Elementary,205
P.S. 115 Alexander Humboldt,196
P.S. 115 Daniel Mucatel School,361
P.S. 115 Glen Oaks,419
P.S. 116 Mary Lindley Murray,298
P.S. 119,262
P.S. 119 Amersfort,275
P.S. 120 Carlos Tapia,140
P.S. 120 Queens,227
P.S. 121 Nelson A. Rockefeller,272
P.S. 121 Throop,333
P.S. 123,311
P.S. 123 Mahalia Jackson,625
P.S. 124 Osmond A Church,707
P.S. 124 Silas B. Dutcher,143
P.S. 124 Yung Wing,436
P.S. 125 Ralph Bunche,118
P.S. 126 Dr Marjorie H Dunbar,249
P.S. 126 Jacob August Riis,795
P.S. 127 Mckinley Park,302
P.S. 128 Audubon,207
P.S. 128 Bensonhurst,191
P.S. 128 Juniper Valley,355
P.S. 129 John H. Finley,466
P.S. 129 Patricia Larkin,302
P.S. 129 Twin Parks Upper,340
P.S. 130,173
P.S. 130 Abram Stevens Hewitt,212
P.S. 130 Hernando De Soto,336
P.S. 130 The Parkside,188
P.S. 131 Brooklyn,241
P.S. 132 Garret A. Morgan,284
P.S. 132 Juan Pablo Duarte,238
P.S. 132 The Conselyea School,280
P.S. 133 Fred R Moore,255
P.S. 133 Queens,207
P.S. 133 William A. Butler,227
P.S. 134 George F. Bristow,193
P.S. 134 Henrietta Szold,150
P.S. 135 Sheldon A. Brookner,200
P.S. 137 John L. Bernstein,144
P.S. 138 Brooklyn,598
P.S. 138 Samuel Randall,308
P.S. 139 Alexine A. Fenty,363
P.S. 140 Nathan Straus,539
P.S. 142 Amalia Castro,276
P.S. 143 Louis Armstrong,281
"P.S. 145, The Bloomingdale School",220
P.S. 146,355
P.S. 146 Ann M. Short,302
P.S. 146 Edward Collins,164
P.S. 146 Howard Beach,636
P.S. 147 Isaac Remsen,134
P.S. 149 Danny Kaye,202
P.S. 149 Sojourner Truth,379
P.S. 150,162
P.S. 150 Charles James Fox,269
P.S. 150 Christopher,323
P.S. 152 Dyckman Valley,266
P.S. 152 Evergreen,201
P.S. 153 Adam Clayton Powell,438
P.S. 153 Helen Keller,380
P.S. 153 Homecrest,202
P.S. 153 Maspeth Elem,460
P.S. 154 Harriet Tubman,148
P.S. 154 Jonathan D. Hyatt,240
P.S. 154 Queens,163
P.S. 155,262
P.S. 155 William Paca,177
P.S. 156 Waverly,247
P.S. 157 Benjamin Franklin,186
P.S. 157 Grove Hill,145
P.S. 158 Bayard Taylor,351
P.S. 158 Warwick,180
P.S. 159,163
P.S. 159 Isaac Pitkin,187
P.S. 159 Luis Munoz Marin Biling,160
P.S. 160 Walt Disney,212
P.S. 160 William T. Sampson,178
P.S. 161 Pedro Albizu Campos,799
P.S. 161 Ponce De Leon,299
P.S. 161 The Crown,648
P.S. 162 John Golden,186
P.S. 163 Alfred E. Smith,428
P.S. 163 Arthur A. Schomburg,158
P.S. 163 Bath Beach,199
P.S. 163 Flushing Heights,175
P.S. 164 Caesar Rodney,293
P.S. 164 Queens Valley,690
P.S. 165 Edith K. Bergtraum,427
P.S. 165 Ida Posner,457
P.S. 165 Robert E. Simon,691
P.S. 166 The Richard Rodgers School of The Arts and Technology,317
P.S. 167 The Parkway,223
P.S. 169 Bay Terrace,215
P.S. 169 Sunset Park,268
P.S. 170,76
P.S. 171 Patrick Henry,484
P.S. 172 Beacon School of Excellence,303
P.S. 173,233
P.S. 173 Fresh Meadows,180
P.S. 174 Dumont,433
P.S. 175 City Island,284
P.S. 175 Henry H Garnet,206
P.S. 176 Ovington,446
P.S. 177 The Marlboro,288
P.S. 178 - Dr. Selman Waksman,179
P.S. 178 Saint Clair Mckelway,261
P.S. 179,221
P.S. 179 Kensington,206
P.S. 180 Hugo Newman,474
P.S. 181 Brooklyn,809
P.S. 182,397
P.S. 183 Dr. Richard R. Green,786
P.S. 183 Robert L. Stevenson,305
P.S. 184 Flushing Manor,234
P.S. 184 Newport,429
P.S. 184m Shuang Wen,459
P.S. 185 John M. Langston,133
P.S. 185 Walter Kassenbrock,280
P.S. 186 Castlewood,152
P.S. 186 Dr. Irving A Gladstone,300
P.S. 188 Kingsbury,347
P.S. 188 Michael E. Berdy,378
P.S. 188 The Island School,553
P.S. 189,253
P.S. 189 Lincoln Terrace,453
P.S. 190 Sheffield,171
P.S. 191 Amsterdam,481
P.S. 191 Mayflower,190
P.S. 191 Paul Robeson,190
P.S. 192 - The Magnet School for Math and Science Inquiry,591
P.S. 192 Jacob H. Schiff,142
P.S. 193 Alfred J. Kennedy,211
P.S. 193 Gil Hodges,315
P.S. 194 Countee Cullen,241
P.S. 194 Raoul Wallenberg,297
P.S. 195,229
P.S. 195 Manhattan Beach,169
P.S. 196,241
P.S. 196 Ten Eyck,275
P.S. 197 Brooklyn,295
P.S. 197 John B. Russwurm,245
P.S. 197 The Ocean School,269
P.S. 198,49
P.S. 198 Brooklyn,271
P.S. 198 Isador E. Ida Straus,305
P.S. 199 Frederick Wachtel,242
P.S. 199 Jessie Isador Straus,157
P.S. 199 Maurice A. Fitzgerald,207
P.S. 199X - The Shakespeare School,200
P.S. 20 P.O.George J. Werdan III,359
P.S. 200 Benson School,328
P.S. 200- The James Mccune Smith School,152
P.S. 201 The Discovery School for Inquiry and Research,272
P.S. 202 Ernest S. Jenkyns,402
P.S. 203 Floyd Bennett,334
P.S. 203 Oakland Gardens,288
P.S. 204 Morris Heights,188
P.S. 204 Vince Lombardi,394
P.S. 205 Alexander Graham Bell,159
P.S. 205 Clarion,168
P.S. 205 Fiorello Laguardia,338
P.S. 206 Jose Celso Barbosa,120
P.S. 206 Joseph F Lamb,734
P.S. 207,89
P.S. 207 Elizabeth G. Leary,878
P.S. 207 Rockwood Park,736
P.S. 208 Alain L. Locke,154
P.S. 208 Elsa Ebeling,303
P.S. 209,105
P.S. 209 Clearview Gardens,411
P.S. 209 Margaret Mead,488
P.S. 211,463
P.S. 212,411
P.S. 212 Lady Deborah Moody,356
P.S. 212 Midtown West,179
P.S. 213 New Lots,150
P.S. 213 The Carl Ullman School,234
P.S. 214,866
P.S. 214 Cadwallader Colden,206
P.S. 214 Michael Friedsam,243
P.S. 215 Lucretia Mott,233
P.S. 215 Morris H. Weiss,401
P.S. 216 Arturo Toscanini,232
P.S. 217 Colonel David Marcus School,337
P.S. 219 Kennedy-King,194
P.S. 219 Paul Klapper,784
P.S. 221 The North Hills School,159
P.S. 221 Toussaint L'Ouverture,219
P.S. 222 Katherine R. Snyder,259
P.S. 223 Lyndon B. Johnson,177
P.S. 224 Hale A. Woodruff,248
P.S. 225 Seaside,110
P.S. 226,239
P.S. 226 Alfred De B.Mason,915
P.S. 229 Dyker,462
P.S. 229 Emanuel Kaplan,383
P.S. 230 Doris L. Cohen,421
P.S. 230 Dr Roland N. Patterson,152
P.S. 233 Langston Hughes,212
P.S. 234 Independence School,260
P.S. 235 Lenox School,433
P.S. 236 Langston Hughes,152
P.S. 236 Mill Basin,432
P.S. 238 Anne Sullivan,498
P.S. 239,264
P.S. 241 Emma L. Johnston,251
P.S. 241 Family Academy,259
P.S. 242 Leonard P. Stavisky Early Childhood School,191
P.S. 243K- The Weeksville School,231
P.S. 244 Richard R. Green,298
P.S. 245,135
P.S. 246 Poe Center,232
P.S. 247 Brooklyn,232
P.S. 249 The Caton,98
P.S. 250 George H. Lindsay,173
P.S. 251 Paerdegat,336
P.S. 253,223
P.S. 254 Dag Hammarskjold,259
P.S. 255 Barbara Reing School,301
P.S. 256 Benjamin Banneker,133
P.S. 257 John F. Hylan,150
P.S. 260 Breuckelen,188
P.S. 261 Philip Livingston,297
P.S. 262 El Hajj Malik El Shabazz Elementary School,211
P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,49
P.S. 267,15
P.S. 268 Emma Lazarus,256
P.S. 269 Nostrand,250
P.S. 270 Johann DeKalb,125
P.S. 272 Curtis Estabrook,288
P.S. 273 Wortman,234
P.S. 276 Louis Marshall,316
P.S. 277,211
P.S. 277 Gerritsen Beach,241
"P.S. 279 Captain Manuel Rivera, Jr.",582
P.S. 279 Herman Schreiber,215
P.S. 28 - The Thomas Emanuel Early Childhood Center,163
P.S. 282 Park Slope,516
P.S. 284 Lew Wallace,406
P.S. 287 Bailey K. Ashford,179
P.S. 288 The Shirley Tanyhill,433
P.S. 289 George V. Brower,302
P.S. 290,43
P.S. 290 Juan Morel Campos,187
P.S. 290 Manhattan New School,302
P.S. 291,151
P.S. 295,294
P.S. 297 Abraham Stockton,210
P.S. 298 Dr. Betty Shabazz,562
P.S. 3 Raul Julia Micro Society,484
P.S. 304 Early Childhood School,210
P.S. 305 Dr. Peter Ray,202
P.S. 306,217
P.S. 306 Ethan Allen,423
P.S. 307 Daniel Hale Williams,262
P.S. 308 Clara Cardwell,507
P.S. 309 The George E. Wibecan Preparatory Academy,202
P.S. 310,52
P.S. 310 Marble Hill,299
P.S. 312 Bergen Beach,403
P.S. 315 Lab School,340
P.S. 316 Elijah Stroud,250
P.S. 319,88
P.S. 321 William Penn,321
P.S. 325,193
P.S. 326,62
P.S. 327 Dr. Rose B. English,412
P.S. 328 Phyllis Wheatley,425
P.S. 329 Surfside,291
P.S. 330,61
P.S. 332 Charles H. Houston,364
P.S. 333 - The Museum School,140
P.S. 333 Manhattan School for Children,688
P.S. 335 Granville T. Woods,252
P.S. 340,218
P.S. 345 Patrolman Robert Bolden,154
P.S. 346 Abe Stark,148
P.S. 360,167
P.S. 361 East Flatbush Early Childhood School,147
P.S. 375 Jackie-Robinson School,338
P.S. 38 Roberto Clemente,256
P.S. 380 John Wayne Elementary,139
P.S. 396,167
P.S. 397 Foster-Laurie,184
P.S. 398 Walter Weaver,191
P.S. 399 Stanley Eugene Clark,180
P.S. 452,37
P.S. 506: The School of Journalism & Technology,215
P.S. 58 - School of Heroes,373
P.S. 65 - The Raymond York Elementary School,232
P.S. 66,332
P.S. 69 Vincent D. Grippo School,213
P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,53
P.S. 77 Lower Lab School,185
P.S. 770 New American Academy,110
P.S. 81Q Jean Paul Richter,293
P.S. 89,306
P.S. 9 Ryer Avenue Elementary School,198
P.S. 90 Edna Cohen School,274
P.S. 97 The Highlawn,320
P.S. 971,38
P.S. K134,233
P.S. K225 - The Eileen E. Zaglin,640
P.S. K315,356
P.S. Q016,395
P.S. X014 Senator John Calandra,309
P.S. X015 Institute for Environmental Learning,380
P.S. X037 - Multiple Intelligence School,365
P.S. X088 - S. Silverstein Little Sparrow School,96
P.S. X114 - Luis Llorens Torres Schools,309
P.S. X140 The Eagle School,172
P.S. X307 - Eames Place,162
P.S./ I.S. 155 Nicholas Herkimer,350
P.S./ IS 178 Holliswood,411
P.S./I.S. 072 Annette P Goldman,347
P.S./I.S. 104 The Fort Hamilton School,618
P.S./I.S. 137 Rachel Jean Mitchell,349
P.S./I.S. 187 Hudson Cliffs,552
P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,467
P.S./I.S. 217 Roosevelt Island,391
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,592
P.S./I.S. 323,408
P.S./M.S. 004 Crotona Park West,288
P.S./M.S. 029 Melrose School,433
P.S./M.S. 031 The William Lloyd Garrison,536
P.S./M.S. 280 Mosholu Parkway,301
PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,230
PROGRESS High School for Professional Careers,784
PS 503: The School of Discovery,314
PS M242-Gwendolyn Powell Brown Computer School,157
PS/MS 11X498 - VAN NEST ACADEMY,266
PS/MS 194,691
PS/MS 200 - The Pomonok School & STAR Academy,599
Pablo Neruda Academy for Architecture and World Studies,528
Pace High School,663
Pacific High School,259
Pan American International High School,295
Pan American International High School at Monroe,199
Park East High School,367
Paul Robeson High School,688
Paula Hedbavny School,415
Peace and Diversity Academy,650
Pelham Preparatory Academy,620
Performance Conservatory High School,671
Performance School,151
Performing Arts and Technology High School,567
Pioneer Academy,196
Professional Performing Arts High School,676
Professor Juan Bosch Public School,97
Providing Urban Learners Success In Education High School,118
Queens Academy High School,242
"Queens High School of Teaching, Liberal Arts and the Sciences",1010
"Queens School of Inquiry, The",691
Queens Vocational and Technical High School,1008
Quest to Learn,207
RED HOOK NEIGHBORHOOD SCHOOL,155
Rachel Carson High School for Coastal Studies,598
Ralph A. Fabrizio School,334
Renaissance High School for Musical Theater & Technology,661
Renaissance School of the Arts,300
Repertory Company High School for Theatre Arts,286
Richard R. Green High School of Teaching,672
River East Elementary,207
Riverdale / Kingsbridge Academy (Middle School / High School 141),1057
Robert F. Kennedy Community High School,823
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",1030
Ronald Edmonds Learning Center II,304
SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,304
SHERIDAN ACADEMY FOR YOUNG LEADERS,146
SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,185
SPRUCE STREET SCHOOL,44
SUNSET PARK HIGH SCHOOL,482
Samuel Gompers Career and Technical Education High School,713
Satellite East Middle School,84
Satellite Three,256
Satellite West Middle School,318
School for Community Research and Learning,657
School for Democracy and Leadership,834
School for Environmental Citizenship,155
School for Excellence,437
School for Global Leaders,180
"School for Human Rights, The",942
School for International Studies,604
School for Legal Studies,721
"School of Business, Finance and Entrepreneurship",135
School of Diplomacy,299
School of Performing Arts,453
School of Science & Technology,217
School of the Future High School,51
Science Skills Center High School at Water's Edge,770
"Science, Technology and Research Early College High School at Erasmus",566
Secondary School for Journalism,547
Secondary School for Law,684
Secondary School for Research,692
Sheepshead Bay High School,975
South Bronx Academy for Applied Media,379
South Bronx Preparatory: A College Board School,878
South Brooklyn Community High School,191
Special Music School,197
Stuyvesant High School,591
Sunset Park Prep,456
THE ACADEMY OF TALENTED SCHOLARS,96
THE CHILDREN'S SCHOOL,97
THE CINEMA SCHOOL,249
THE FAMILY SCHOOL,185
THE GLOBAL LEARNING COLLABORATIVE,252
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,353
"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",506
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,244
THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,199
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,37
Tag Young Scholars,607
Talent Unlimited High School,413
Teachers Preparatory High School,586
"Technology, Arts, and Sciences Studio",356
The 47 American Sign Language & English Lower School,272
The 51 Avenue Academy (The Path To Academic Excellence),114
The Academy of the Arts,150
The Active Learning Elementary School,103
The Anderson School,451
The Angelo Patri Middle School,475
The Bilingual Bicultural School,126
The Bronx Mathematics Preparatory School,476
The Bronx School of Science Inquiry and Investigation,420
The Bronxwood Preparatory Academy,682
The Brooklyn Academy of Global Finance,373
The Children's Workshop School,115
The Christa McAuliffe School\I.S. 187,338
The East Village Community School,163
The Forward School,316
"The High School for Enterprise, Business and Technology",940
The High School for Global Citizenship,598
The High School of Fashion Industries,703
The Hunts Point School,411
The Lexington Academy,228
"The Marie Curie School for Medicine, Nursing, and Health Professions",833
The Math & Science Exploratory School,502
The Mott Hall School,238
The New School for Leadership and Journalism,630
"The Queens College School for Math, Science and Technology",391
The SEEALL Academy,922
The School for Inquiry and Social Justice,321
The School of Integrated Learning,485
The School of Science and Applied Learning,220
The Urban Assembly New York Harbor School,517
The Urban Assembly School for Law and Justice,634
The Urban Assembly School for the Urban Environment,75
The Young Scholars Academy of The Bronx,421
Theatre Arts Production Company School,962
Thomas C. Giordano Middle School 45,242
Thurgood Marshall Academy Lower School,111
Thurgood Marshall Academy for Learning and Social Change,804
Tompkins Square Middle School,208
Townsend Harris High School,469
Transit Tech Career and Technical Education High School,724
URBAN SCHOLARS COMMUNITY SCHOOL,110
Unity Center for Urban Technologies,339
University Heights Secondary School,376
University Neighborhood High School,618
University Neighborhood Middle School,318
Upper School @ P.S. 25,21
Urban Action Academy,347
"Urban Assembly Academy for History and Citizenship for Young Men, The",619
Urban Assembly Academy of Arts and Letters,331
Urban Assembly Academy of Civic Engagement,357
"Urban Assembly Academy of Government and Law, The",675
Urban Assembly High School of Music and Art at Water's Edge,600
Urban Assembly Institute of Math and Science for Young Women,684
"Urban Assembly School for Applied Math and Science, The",824
Urban Assembly School for Careers in Sports,870
Urban Assembly School for Criminal Justice,459
"Urban Assembly School for Media Studies, The",521
Urban Assembly School for Wildlife Conservation,669
Urban Assembly School for the Performing Arts,552
"Urban Assembly School of Business for Young Women, the",610
"Urban Assembly School of Design and Construction, The",531
Urban Institute of Mathematics,240
Urban Science Academy,313
Validus Preparatory Academy: An Expeditionary Learning School,605
Vanguard High School,396
Victory Collegiate High School,398
W. H. Maxwell Career and Technical Education High School,565
W.E.B. Dubois Academic High School,223
WEST PREP ACADEMY,202
Wadleigh Secondary School for the Performing & Visual Arts,620
Washington Heights Academy,137
Washington Heights Expeditionary Learning School,832
Washington Irving High School,692
West Bronx Academy for the Future,1201
West Brooklyn Community High School,161
William E. Grady Career and Technical Education High School,888
Williamsburg High School for Architecture and Design,692
Williamsburg Preparatory School,830
Wings Academy,583
Women's Academy of Excellence,562
World Academy for Total Community Health High School,711
World Journalism Preparatory: A College Board School,1172
Yorkville Community School,89
Young Leaders Elementary School,137
Young Scholars' Academy for Discovery and Exploration,144
Young Women's Leadership School,593
Young Women's Leadership School of Brooklyn,303
